,season,name,position,value,value_delta,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
97,2018-19,Christian Atsu,MID,55,0.0,0,0,0,0,0,0,0,0,0,14.0,1.0,6.2,4,21,0,0,Newcastle,Tottenham,True,-1,8,12:30,0.5230769230769231,2018-08-11
98,2018-19,Christian Benteke,FWD,65,0.0,0,0,0,0,0,0,0,0,1,24.0,48.0,13.6,9,82,0,0,Crystal Palace,Fulham,False,1,8,15:00,0.8333333333333334,2018-08-11
99,2018-19,Christian Eriksen,MID,95,0.0,0,0,0,1,0,0,0,0,0,72.3,12.0,19.2,15,90,0,0,Tottenham,Newcastle,False,1,8,12:30,1.9117647058823528,2018-08-11
100,2018-19,Christian Fuchs,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Leicester,Man United,False,-1,8,20:00,0.20933333333333334,2018-08-10
101,2018-19,Christian Kabasele,DEF,45,0.0,1,0,0,0,0,0,0,0,1,0.2,22.0,8.0,17,90,0,0,Watford,Brighton,True,1,8,15:00,1.4345991561181433,2018-08-11
102,2018-19,Christopher Schindler,DEF,45,0.0,0,0,0,3,0,0,0,0,0,0.2,0.0,20.2,6,90,1,0,Huddersfield,Chelsea,True,-1,8,15:00,0.2476923076923077,2018-08-11
103,2018-19,Chris Löwe,DEF,45,0.0,0,0,0,2,0,0,0,0,0,15.8,0.0,7.6,9,70,0,0,Huddersfield,Chelsea,True,-1,8,15:00,0.2476923076923077,2018-08-11
104,2018-19,Chris Smalling,DEF,60,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man United,Leicester,True,1,8,20:00,4.777070063694267,2018-08-10
105,2018-19,Chris Wood,FWD,65,0.0,0,0,0,0,0,0,0,0,1,2.8,52.0,5.8,2,72,0,0,Burnley,Southampton,False,0,8,13:30,0.37,2018-08-12
106,2018-19,Ciaran Clark,DEF,45,0.0,0,0,0,2,0,0,0,0,0,0.7,26.0,18.4,9,90,0,0,Newcastle,Tottenham,True,-1,8,12:30,0.5230769230769231,2018-08-11
107,2018-19,Claudio Bravo,GK,50,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Man City,Arsenal,False,1,8,16:00,2.0512820512820515,2018-08-12
