,season,name,position,value,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
3793,2017-18,Pedro Rodríguez ledesma,MID,78,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Chelsea,Newcastle,True,1,12,12:30,12.0,2017-12-02
3794,2017-18,Per Mertesacker,DEF,49,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Arsenal,Man United,True,-1,12,17:30,1.2,2017-12-02
3795,2017-18,Peter Crouch,FWD,48,1,1,0,1,0,0,0,0,0,26.8,41,22.4,11,90,0,0,Stoke,Swansea,True,1,12,15:00,2.307692307692308,2017-12-02
3796,2017-18,Petr Cech,GK,54,0,0,0,3,2,0,0,0,0,0.0,0,19.2,13,90,0,0,Arsenal,Man United,True,-1,12,17:30,1.2,2017-12-02
3797,2017-18,Philippe Coutinho,MID,88,3,3,1,1,0,0,0,0,0,48.8,45,81.4,64,90,0,0,Liverpool,Brighton,False,1,12,15:00,5.0,2017-12-02
3798,2017-18,Philip Billing,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Huddersfield,Everton,False,-1,12,15:00,0.31272727272727274,2017-12-02
3799,2017-18,Phil Bardsley,DEF,43,0,0,0,1,0,0,0,0,0,16.0,0,27.8,17,90,1,0,Burnley,Leicester,False,-1,12,15:00,0.366,2017-12-02
3800,2017-18,Phil Foden,MID,47,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man City,West Ham,True,1,12,16:00,19.444444444444443,2017-12-03
3801,2017-18,Phil Jagielka,DEF,48,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Everton,Huddersfield,True,1,12,15:00,3.197674418604651,2017-12-02
3802,2017-18,Phil Jones,DEF,54,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man United,Arsenal,False,1,12,17:30,0.8333333333333334,2017-12-02
